quote,author,tags,embedding_text
“Time is a drug. Too much of it kills you.”,"Terry Pratchett,","humor, science","Quote: “Time is a drug. Too much of it kills you.” Author: Terry Pratchett, Tags: humor, science"
“Maybe everâ€™body in the whole damn world is scared of each other.”,"John Steinbeck,","loneliness, people, scared, world","Quote: “Maybe everâ€™body in the whole damn world is scared of each other.” Author: John Steinbeck, Tags: loneliness, people, scared, world"
"“Is 'fat' really the worst thing a human being can be? Is 'fat' worse than 'vindictive', 'jealous', 'shallow', 'vain', 'boring' or 'cruel'? Not to me.”",J.K. Rowling,inspirational,"Quote: “Is 'fat' really the worst thing a human being can be? Is 'fat' worse than 'vindictive', 'jealous', 'shallow', 'vain', 'boring' or 'cruel'? Not to me.” Author: J.K. Rowling Tags: inspirational"
"“If a book about failures doesn't sell, is it a success?”",Jerry Seinfeld,"books, funny","Quote: “If a book about failures doesn't sell, is it a success?” Author: Jerry Seinfeld Tags: books, funny"
“Imagine smiling after a slap in the face. Then think of doing it twenty-four hours a day.”,"Markus Zusak,","pain, sadness, stoicism","Quote: “Imagine smiling after a slap in the face. Then think of doing it twenty-four hours a day.” Author: Markus Zusak, Tags: pain, sadness, stoicism"
"“You were born with wings, why prefer to crawl through life?”",Rumi,inspirational,"Quote: “You were born with wings, why prefer to crawl through life?” Author: Rumi Tags: inspirational"
“Wherever you go becomes a part of you somehow.”,Anita Desai,travel,Quote: “Wherever you go becomes a part of you somehow.” Author: Anita Desai Tags: travel
"“The function of prayer is not to influence God, but rather to change the nature of the one who prays.”",Soren Kierkegaard,"faith, god, prayer","Quote: “The function of prayer is not to influence God, but rather to change the nature of the one who prays.” Author: Soren Kierkegaard Tags: faith, god, prayer"
"“When you do things from your soul, you feel a river moving in you, a joy.”",Rumi,joy,"Quote: “When you do things from your soul, you feel a river moving in you, a joy.” Author: Rumi Tags: joy"
“How did it get so late so soon?”,Dr. Seuss,"afternoon, december, flewn, june, late, night, soon, time","Quote: “How did it get so late so soon?” Author: Dr. Seuss Tags: afternoon, december, flewn, june, late, night, soon, time"
"“I am an excitable person who only understands life lyrically, musically, in whom feelings are much stronger as reason. I am so thirsty for the marvelous that only the marvelous has power over me. Anything I can not transform into something marvelous, I let go. Reality doesn't impress me. I only believe in intoxication, in ecstasy, and when ordinary life shackles me, I escape, one way or another. No more walls.”",Anais Nin,"anais-nin, art","Quote: “I am an excitable person who only understands life lyrically, musically, in whom feelings are much stronger as reason. I am so thirsty for the marvelous that only the marvelous has power over me. Anything I can not transform into something marvelous, I let go. Reality doesn't impress me. I only believe in intoxication, in ecstasy, and when ordinary life shackles me, I escape, one way or another. No more walls.” Author: Anais Nin Tags: anais-nin, art"
“I can resist anything except temptation.”,"Oscar Wilde,",temptation,"Quote: “I can resist anything except temptation.” Author: Oscar Wilde, Tags: temptation"
“Atticus told me to delete the adjectives and I'd have the facts.”,"Harper Lee,",writing-advice,"Quote: “Atticus told me to delete the adjectives and I'd have the facts.” Author: Harper Lee, Tags: writing-advice"
“Life shrinks or expands in proportion to one's courage.”,Anais Nin,"courage, life","Quote: “Life shrinks or expands in proportion to one's courage.” Author: Anais Nin Tags: courage, life"
“We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.”,Plato,"darkness, dishonesty, fear, light, willful-ignorance","Quote: “We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.” Author: Plato Tags: darkness, dishonesty, fear, light, willful-ignorance"
“I would like to be the air that inhabits you for a moment only. I would like to be that unnoticed and that necessary.”,Margaret Atwood,"love, obsession, sleep","Quote: “I would like to be the air that inhabits you for a moment only. I would like to be that unnoticed and that necessary.” Author: Margaret Atwood Tags: love, obsession, sleep"
"“Maybe you can afford to wait. Maybe for you there's a tomorrow. Maybe for you there's one thousand tomorrows, or three thousand, or ten, so much time you can bathe in it, roll around it, let it slide like coins through you fingers. So much time you can waste it.But for some of us there's only today. And the truth is, you never really know.”","Lauren Oliver,",inspirational-life,"Quote: “Maybe you can afford to wait. Maybe for you there's a tomorrow. Maybe for you there's one thousand tomorrows, or three thousand, or ten, so much time you can bathe in it, roll around it, let it slide like coins through you fingers. So much time you can waste it.But for some of us there's only today. And the truth is, you never really know.” Author: Lauren Oliver, Tags: inspirational-life"
"“Don't stop there. I suppose there are also, what, vampires and werewolves and zombies?""""Of course there are. Although you mostly find zombies farther south, where the voudun priests are.""""What about mummies? Do they only hang around Egypt?""""Don't be ridiculous. No one believes in mummies.”","Cassandra Clare,","clary-fray, jace-wayland, joke, mummies, sarcasm, vampire, werewolf, zombies","Quote: “Don't stop there. I suppose there are also, what, vampires and werewolves and zombies?""""Of course there are. Although you mostly find zombies farther south, where the voudun priests are.""""What about mummies? Do they only hang around Egypt?""""Don't be ridiculous. No one believes in mummies.” Author: Cassandra Clare, Tags: clary-fray, jace-wayland, joke, mummies, sarcasm, vampire, werewolf, zombies"
“Even death has a heart.”,"Markus Zusak,","death, life","Quote: “Even death has a heart.” Author: Markus Zusak, Tags: death, life"
"“One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.”","Johann Wolfgang von Goethe,","art, good-life, music, poetry, self-improvement","Quote: “One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.” Author: Johann Wolfgang von Goethe, Tags: art, good-life, music, poetry, self-improvement"
“You speak an infinite deal of nothing.”,"William Shakespeare,","insults, shakespeare","Quote: “You speak an infinite deal of nothing.” Author: William Shakespeare, Tags: insults, shakespeare"
"“It doesn't interest me what you do for a living. I want to know what you ache for, and if you dare to dream of meeting your heart's longing.It doesn't interest me how old you are. I want to know if you will risk looking like a fool for love, for your dream, for the adventure of being alive. It doesn't interest me what planets are squaring your moon. I want to know if you have touched the center of your own sorrow, if you have been opened by life's betrayals or have become shriveled and closed from fear of further pain!I want to know if you can sit with pain, mine or your own, without moving to hide it or fade it, or fix it. I want to know if you can be with joy, mine or your own, if you can dance with wildness and let the ecstasy fill you to the tips of your fingers and toes without cautioning us to be careful, to be realistic, to remember the limitations of being human. It doesn't interest me if the story you are telling me is true. I want to know if you can disappoint another to be true to yourself; if you can bear the accusation of betrayal and not betray your own soul; if you can be faithlessand therefore trustworthy. I want to know if you can see beauty even when it's not pretty, every day,and if you can source your own life from its presence. I want to know if you can live with failure, yours and mine, and still stand on the edge of the lake and shout to the silver of the full moon, â€œYes!â€�It doesn't interest me to know where you live or how much money you have. I want to know if you can get up, after the night of grief and despair, weary and bruised to the bone, and do what needs to be done to feed the children. It doesn't interest me who you know or how you came to be here. I want to know if you will stand in the center of the fire with me and not shrink back. It doesn't interest me where or what or with whom you have studied. I want to know what sustains you, from the inside, when all else falls away. I want to know if you can be alone with yourself and if you truly like the company you keep in the empty moments.”",Oriah Mountain Dreamer,inspirational,"Quote: “It doesn't interest me what you do for a living. I want to know what you ache for, and if you dare to dream of meeting your heart's longing.It doesn't interest me how old you are. I want to know if you will risk looking like a fool for love, for your dream, for the adventure of being alive. It doesn't interest me what planets are squaring your moon. I want to know if you have touched the center of your own sorrow, if you have been opened by life's betrayals or have become shriveled and closed from fear of further pain!I want to know if you can sit with pain, mine or your own, without moving to hide it or fade it, or fix it. I want to know if you can be with joy, mine or your own, if you can dance with wildness and let the ecstasy fill you to the tips of your fingers and toes without cautioning us to be careful, to be realistic, to remember the limitations of being human. It doesn't interest me if the story you are telling me is true. I want to know if you can disappoint another to be true to yourself; if you can bear the accusation of betrayal and not betray your own soul; if you can be faithlessand therefore trustworthy. I want to know if you can see beauty even when it's not pretty, every day,and if you can source your own life from its presence. I want to know if you can live with failure, yours and mine, and still stand on the edge of the lake and shout to the silver of the full moon, â€œYes!â€�It doesn't interest me to know where you live or how much money you have. I want to know if you can get up, after the night of grief and despair, weary and bruised to the bone, and do what needs to be done to feed the children. It doesn't interest me who you know or how you came to be here. I want to know if you will stand in the center of the fire with me and not shrink back. It doesn't interest me where or what or with whom you have studied. I want to know what sustains you, from the inside, when all else falls away. I want to know if you can be alone with yourself and if you truly like the company you keep in the empty moments.” Author: Oriah Mountain Dreamer Tags: inspirational"
“All you have to do is write one true sentence. Write the truest sentence that you know.”,Ernest Hemingway,"truth, writing, writing-advice","Quote: “All you have to do is write one true sentence. Write the truest sentence that you know.” Author: Ernest Hemingway Tags: truth, writing, writing-advice"
"“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book. And then there are books like An Imperial Affliction, which you can't tell people about, books so special and rare and yours that advertising your affection feels like betrayal”","John Green,","books, john-green, reading, the-fault-in-our-stars","Quote: “Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book. And then there are books like An Imperial Affliction, which you can't tell people about, books so special and rare and yours that advertising your affection feels like betrayal” Author: John Green, Tags: books, john-green, reading, the-fault-in-our-stars"
"“A cynic is a man who knows the price of everything, and the value of nothing.”",Oscar Wilde,cynicism,"Quote: “A cynic is a man who knows the price of everything, and the value of nothing.” Author: Oscar Wilde Tags: cynicism"
"“He does something to me, that boy. Every time. Itâ€™s his only detriment. He steps on my heart. He makes me cry.”","Markus Zusak,","heartbreak, love, sad","Quote: “He does something to me, that boy. Every time. Itâ€™s his only detriment. He steps on my heart. He makes me cry.” Author: Markus Zusak, Tags: heartbreak, love, sad"
“Gravitation is not responsible for people falling in love.”,Albert Einstein,love,Quote: “Gravitation is not responsible for people falling in love.” Author: Albert Einstein Tags: love
"“You know, when it works, love is pretty amazing. It's not overrated. There's a reason for all those songs.”","Sarah Dessen,",love,"Quote: “You know, when it works, love is pretty amazing. It's not overrated. There's a reason for all those songs.” Author: Sarah Dessen, Tags: love"
"“To me, Fearless is not the absense of fear. It's not being completely unafraid. To me, Fearless is having fears. Fearless is having doubts. Lots of them. To me, Fearless is living in spite of those things that scare you to death.”",Taylor Swift,"fearless, inspirational, love","Quote: “To me, Fearless is not the absense of fear. It's not being completely unafraid. To me, Fearless is having fears. Fearless is having doubts. Lots of them. To me, Fearless is living in spite of those things that scare you to death.” Author: Taylor Swift Tags: fearless, inspirational, love"
“But in the end one needs more courage to live than to kill himself.”,Albert Camus,"enduring, going-on, suicide, survival","Quote: “But in the end one needs more courage to live than to kill himself.” Author: Albert Camus Tags: enduring, going-on, suicide, survival"
"“The moment you doubt whether you can fly, you cease for ever to be able to do it.”","J. M. Barrie,","barrie, belief, fantasy, flying, imagination, kensington-gardens, london, magic, neverland, park, peter-pan, scotland, self-confidence","Quote: “The moment you doubt whether you can fly, you cease for ever to be able to do it.” Author: J. M. Barrie, Tags: barrie, belief, fantasy, flying, imagination, kensington-gardens, london, magic, neverland, park, peter-pan, scotland, self-confidence"
“Say 'provoking' again. Your mouth looks provocative when you do.”,"Becca Fitzpatrick,","fallen-anger, humor, nephlim, romance","Quote: “Say 'provoking' again. Your mouth looks provocative when you do.” Author: Becca Fitzpatrick, Tags: fallen-anger, humor, nephlim, romance"
"“There are three types of lies -- lies, damn lies, and statistics.”",Benjamin Disraeli,"lies, lying, misattributed-mark-twain, statistics, truth","Quote: “There are three types of lies -- lies, damn lies, and statistics.” Author: Benjamin Disraeli Tags: lies, lying, misattributed-mark-twain, statistics, truth"
"“Words are easy, like the wind; Faithful friends are hard to find.”","William Shakespeare,",friendship,"Quote: “Words are easy, like the wind; Faithful friends are hard to find.” Author: William Shakespeare, Tags: friendship"
“I dream. Sometimes I think that's the only right thing to do.”,"Haruki Murakami,","dreaming, dreams","Quote: “I dream. Sometimes I think that's the only right thing to do.” Author: Haruki Murakami, Tags: dreaming, dreams"
"“Don't be afraid of death; be afraid of an unlived life. You don't have to live forever, you just have to live.”","Natalie Babbitt,",life,"Quote: “Don't be afraid of death; be afraid of an unlived life. You don't have to live forever, you just have to live.” Author: Natalie Babbitt, Tags: life"
"“The very least you can do in your life is figure out what you hope for. And the most you can do is live inside that hope. Not admire it from a distance but live right in it, under its roof.”","Barbara Kingsolver,",hope,"Quote: “The very least you can do in your life is figure out what you hope for. And the most you can do is live inside that hope. Not admire it from a distance but live right in it, under its roof.” Author: Barbara Kingsolver, Tags: hope"
"“I could easily forgive his pride, if he had not mortified mine.”","Jane Austen,","elizabeth-bennet, forgiveness, injury, mortification, pride","Quote: “I could easily forgive his pride, if he had not mortified mine.” Author: Jane Austen, Tags: elizabeth-bennet, forgiveness, injury, mortification, pride"
"“Don't you think it's better to be extremely happy for a short while, even if you lose it, than to be just okay for your whole life?”","Audrey Niffenegger,",life,"Quote: “Don't you think it's better to be extremely happy for a short while, even if you lose it, than to be just okay for your whole life?” Author: Audrey Niffenegger, Tags: life"
"“I can listen no longer in silence. I must speak to you by such means as are within my reach. You pierce my soul. I am half agony, half hope. Tell me not that I am too late, that such precious feelings are gone for ever. I offer myself to you again with a heart even more your own than when you almost broke it, eight years and a half ago. Dare not say that man forgets sooner than woman, that his love has an earlier death. I have loved none but you. Unjust I may have been, weak and resentful I have been, but never inconstant. You alone have brought me to Bath. For you alone, I think and plan. Have you not seen this? Can you fail to have understood my wishes? I had not waited even these ten days, could I have read your feelings, as I think you must have penetrated mine. I can hardly write. I am every instant hearing something which overpowers me. You sink your voice, but I can distinguish the tones of that voice when they would be lost on others. Too good, too excellent creature! You do us justice, indeed. You do believe that there is true attachment and constancy among men. Believe it to be most fervent, most undeviating, in F. W.I must go, uncertain of my fate; but I shall return hither, or follow your party, as soon as possible. A word, a look, will be enough to decide whether I enter your father's house this evening or never.”","Jane Austen,",romance,"Quote: “I can listen no longer in silence. I must speak to you by such means as are within my reach. You pierce my soul. I am half agony, half hope. Tell me not that I am too late, that such precious feelings are gone for ever. I offer myself to you again with a heart even more your own than when you almost broke it, eight years and a half ago. Dare not say that man forgets sooner than woman, that his love has an earlier death. I have loved none but you. Unjust I may have been, weak and resentful I have been, but never inconstant. You alone have brought me to Bath. For you alone, I think and plan. Have you not seen this? Can you fail to have understood my wishes? I had not waited even these ten days, could I have read your feelings, as I think you must have penetrated mine. I can hardly write. I am every instant hearing something which overpowers me. You sink your voice, but I can distinguish the tones of that voice when they would be lost on others. Too good, too excellent creature! You do us justice, indeed. You do believe that there is true attachment and constancy among men. Believe it to be most fervent, most undeviating, in F. W.I must go, uncertain of my fate; but I shall return hither, or follow your party, as soon as possible. A word, a look, will be enough to decide whether I enter your father's house this evening or never.” Author: Jane Austen, Tags: romance"
"“Someone I loved once gave me a box full of darkness. It took me years to understand that this too, was a gift.”",Mary Oliver,"box, darkness, gift, love","Quote: “Someone I loved once gave me a box full of darkness. It took me years to understand that this too, was a gift.” Author: Mary Oliver Tags: box, darkness, gift, love"
"“You need to learn how to select your thoughts just the same way you select your clothes every day. This is a power you can cultivate. If you want to control things in your life so bad, work on the mind. That's the only thing you should be trying to control.”","Elizabeth Gilbert,","eat-pray-love, elizabeth-gilbert, inspiration","Quote: “You need to learn how to select your thoughts just the same way you select your clothes every day. This is a power you can cultivate. If you want to control things in your life so bad, work on the mind. That's the only thing you should be trying to control.” Author: Elizabeth Gilbert, Tags: eat-pray-love, elizabeth-gilbert, inspiration"
"“You will do foolish things, but do them with enthusiasm.”",Colette,"enthusiasm, foolishness, silliness, wisdom","Quote: “You will do foolish things, but do them with enthusiasm.” Author: Colette Tags: enthusiasm, foolishness, silliness, wisdom"
“Life appears to me too short to be spent in nursing animosity or registering wrongs.”,"Charlotte Bronte,",grudges,"Quote: “Life appears to me too short to be spent in nursing animosity or registering wrongs.” Author: Charlotte Bronte, Tags: grudges"
"“Don't part with your illusions. When they are gone you may still exist, but you have ceased to live.”",Mark Twain,"illusions, life","Quote: “Don't part with your illusions. When they are gone you may still exist, but you have ceased to live.” Author: Mark Twain Tags: illusions, life"
“You know what charm is: a way of getting the answer yes without having asked any clear question.”,"Albert Camus,",romance,"Quote: “You know what charm is: a way of getting the answer yes without having asked any clear question.” Author: Albert Camus, Tags: romance"
"“You see things; you say, 'Why?' But I dream things that never were; and I say 'Why not?”","George Bernard Shaw,",inspirational,"Quote: “You see things; you say, 'Why?' But I dream things that never were; and I say 'Why not?” Author: George Bernard Shaw, Tags: inspirational"
"“People say that life is the thing, but I prefer reading.”",Logan Pearsall Smith,"life, reading","Quote: “People say that life is the thing, but I prefer reading.” Author: Logan Pearsall Smith Tags: life, reading"
“â€ŽThough nobody can go back and make a new beginning... Anyone can start over and make a new ending.”,Chico Xavier,"inspirational, life-lessons","Quote: “â€ŽThough nobody can go back and make a new beginning... Anyone can start over and make a new ending.” Author: Chico Xavier Tags: inspirational, life-lessons"
"“Yeah, Quirrell was a great teacher. There was just that minor drawback of him having Lord Voldemort sticking out of the back of his head!”","J.K. Rowling,",humor,"Quote: “Yeah, Quirrell was a great teacher. There was just that minor drawback of him having Lord Voldemort sticking out of the back of his head!” Author: J.K. Rowling, Tags: humor"
“Never be afraid to trust an unknown future to a known God.”,Corrie ten Boom,"faith, future, god, trust","Quote: “Never be afraid to trust an unknown future to a known God.” Author: Corrie ten Boom Tags: faith, future, god, trust"
"“Grover was sniffing the wind, looking nervous. He fished out his acorns and threw them into the sand, then played his pipes. They rearranged themselves in a pattern that made no sense to me, but Grover looked concerned. ""That's us,"" he said. ""Those five nuts right there."" ""Which one is me?"" I asked. ""The little deformed one,"" Zoe suggested. ""Oh, shut up.”","Rick Riordan,","acorns, percy-jackson, zoe-nightshade","Quote: “Grover was sniffing the wind, looking nervous. He fished out his acorns and threw them into the sand, then played his pipes. They rearranged themselves in a pattern that made no sense to me, but Grover looked concerned. ""That's us,"" he said. ""Those five nuts right there."" ""Which one is me?"" I asked. ""The little deformed one,"" Zoe suggested. ""Oh, shut up.” Author: Rick Riordan, Tags: acorns, percy-jackson, zoe-nightshade"
“I love you like a fat kid loves cake!”,Scott Adams,"food, humor, love","Quote: “I love you like a fat kid loves cake!” Author: Scott Adams Tags: food, humor, love"
"“Tonight I can write the saddest linesI loved her, and sometimes she loved me too.”","Pablo Neruda,","love, sadness","Quote: “Tonight I can write the saddest linesI loved her, and sometimes she loved me too.” Author: Pablo Neruda, Tags: love, sadness"
"“There are darknesses in life and there are lights, and you are one of the lights, the light of all lights.”","Bram Stoker,","darkness, light, mina, van-helsing","Quote: “There are darknesses in life and there are lights, and you are one of the lights, the light of all lights.” Author: Bram Stoker, Tags: darkness, light, mina, van-helsing"
“We should consider every day lost on which we have not danced at least once.”,Friedrich Wilhelm Nietzsche,"dance, dancing, music","Quote: “We should consider every day lost on which we have not danced at least once.” Author: Friedrich Wilhelm Nietzsche Tags: dance, dancing, music"
“An expert is a person who has made all the mistakes that can be made in a very narrow field.”,Niels Bohr,science,Quote: “An expert is a person who has made all the mistakes that can be made in a very narrow field.” Author: Niels Bohr Tags: science
"“I will have you without armor, Kaz Brekker. Or I will not have you at all.”","Leigh Bardugo,",six-of-crows,"Quote: “I will have you without armor, Kaz Brekker. Or I will not have you at all.” Author: Leigh Bardugo, Tags: six-of-crows"
"“You might be poor, your shoes might be broken, but your mind is a palace.”","Frank McCourt,","intelligence, mind, poverty","Quote: “You might be poor, your shoes might be broken, but your mind is a palace.” Author: Frank McCourt, Tags: intelligence, mind, poverty"
"“Itâ€™s probably not just by chance that Iâ€™m alone. It would be very hard for a man to live with me, unless heâ€™s terribly strong. And if heâ€™s stronger than I, Iâ€™m the one who canâ€™t live with him. â€¦ Iâ€™m neither smart nor stupid, but I donâ€™t think Iâ€™m a run-of-the-mill person. Iâ€™ve been in business without being a businesswoman, Iâ€™ve loved without being a woman made only for love. The two men Iâ€™ve loved, I think, will remember me, on earth or in heaven, because men always remember a woman who caused them concern and uneasiness. Iâ€™ve done my best, in regard to people and to life, without precepts, but with a taste for justice.”",Coco Chanel,"autonomy, bachelorhood, empowerment, freedom, independence, individuality, love, marriage, matrimony, men, self-determination, self-sufficiency, singles, strength, women","Quote: “Itâ€™s probably not just by chance that Iâ€™m alone. It would be very hard for a man to live with me, unless heâ€™s terribly strong. And if heâ€™s stronger than I, Iâ€™m the one who canâ€™t live with him. â€¦ Iâ€™m neither smart nor stupid, but I donâ€™t think Iâ€™m a run-of-the-mill person. Iâ€™ve been in business without being a businesswoman, Iâ€™ve loved without being a woman made only for love. The two men Iâ€™ve loved, I think, will remember me, on earth or in heaven, because men always remember a woman who caused them concern and uneasiness. Iâ€™ve done my best, in regard to people and to life, without precepts, but with a taste for justice.” Author: Coco Chanel Tags: autonomy, bachelorhood, empowerment, freedom, independence, individuality, love, marriage, matrimony, men, self-determination, self-sufficiency, singles, strength, women"
"“It was not the feeling of completeness I so needed, but the feeling of not being empty.”","Jonathan Safran Foer,","emptiness, life","Quote: “It was not the feeling of completeness I so needed, but the feeling of not being empty.” Author: Jonathan Safran Foer, Tags: emptiness, life"
"“Live in the present, remember the past, and fear not the future, for it doesn't exist and never shall. There is only now.”","Christopher Paolini,",inspirational,"Quote: “Live in the present, remember the past, and fear not the future, for it doesn't exist and never shall. There is only now.” Author: Christopher Paolini, Tags: inspirational"
“It is not that I'm so smart. But I stay with the questions much longer.”,Albert Einstein,"intelligence, learning, wisdom","Quote: “It is not that I'm so smart. But I stay with the questions much longer.” Author: Albert Einstein Tags: intelligence, learning, wisdom"
"“I am a cage, in search of a bird.”",Franz Kafka,franz-kafka,"Quote: “I am a cage, in search of a bird.” Author: Franz Kafka Tags: franz-kafka"
"“And when her lips met mine, I knew that I could live to be a hundred and visit every country in the world, but nothing would ever compare to that single moment when I first kissed the girl of my dreams and knew that my love would last forever.”","Nicholas Sparks,","bestseller, love, nicholas-sparks, north-carolina, novel","Quote: “And when her lips met mine, I knew that I could live to be a hundred and visit every country in the world, but nothing would ever compare to that single moment when I first kissed the girl of my dreams and knew that my love would last forever.” Author: Nicholas Sparks, Tags: bestseller, love, nicholas-sparks, north-carolina, novel"
“To say goodbye is to die a little.”,"Raymond Chandler,","change, life, parting, romantics","Quote: “To say goodbye is to die a little.” Author: Raymond Chandler, Tags: change, life, parting, romantics"
"“Welcome to the wonderful world of jealousy, he thought. For the price of admission, you get a splitting headache, a nearly irresistable urge to commit murder, and an inferiority complex. Yippee.”","J.R. Ward,","humor, jealousy, love","Quote: “Welcome to the wonderful world of jealousy, he thought. For the price of admission, you get a splitting headache, a nearly irresistable urge to commit murder, and an inferiority complex. Yippee.” Author: J.R. Ward, Tags: humor, jealousy, love"
"“Whatever the cost of our libraries, the price is cheap compared to that of an ignorant nation.”",Walter Cronkite,"education, ignorance, intelligence, libraries","Quote: “Whatever the cost of our libraries, the price is cheap compared to that of an ignorant nation.” Author: Walter Cronkite Tags: education, ignorance, intelligence, libraries"
"“Don't feel bad, I'm usually about to die.”","Rick Riordan,","death, greek, humor, mythology, percy-jackson, sorry","Quote: “Don't feel bad, I'm usually about to die.” Author: Rick Riordan, Tags: death, greek, humor, mythology, percy-jackson, sorry"
“I'm sure the universe is full of intelligent life. It's just been too intelligent to come here.”,Arthur C. Clarke,"extraterrestrials, humor, intelligent-life, life, science, universe","Quote: “I'm sure the universe is full of intelligent life. It's just been too intelligent to come here.” Author: Arthur C. Clarke Tags: extraterrestrials, humor, intelligent-life, life, science, universe"
“The best books... are those that tell you what you know already.”,"George Orwell,","books, reading","Quote: “The best books... are those that tell you what you know already.” Author: George Orwell, Tags: books, reading"
"“Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”",Steve Maraboli,"destiny, happiness, history, inspirational, let-go, letting-go, life, motivational, moving-on, success","Quote: “Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.” Author: Steve Maraboli Tags: destiny, happiness, history, inspirational, let-go, letting-go, life, motivational, moving-on, success"
“There are years that ask questions and years that answer.”,"Zora Neale Hurston,",inspiration,"Quote: “There are years that ask questions and years that answer.” Author: Zora Neale Hurston, Tags: inspiration"
"“When I discover who I am, Iâ€™ll be free.”","Ralph Ellison,","freedom, identity, independence, self-awareness, self-discovery","Quote: “When I discover who I am, Iâ€™ll be free.” Author: Ralph Ellison, Tags: freedom, identity, independence, self-awareness, self-discovery"
“We are just an advanced breed of monkeys on a minor planet of a very average star. But we can understand the Universe. That makes us something very special.”,Stephen Hawking,"inspirational, science","Quote: “We are just an advanced breed of monkeys on a minor planet of a very average star. But we can understand the Universe. That makes us something very special.” Author: Stephen Hawking Tags: inspirational, science"
"“You here to finish me off, Sweetheart?”","Suzanne Collins,","humor, hunger-games, katniss, mellark, peeta, romance","Quote: “You here to finish me off, Sweetheart?” Author: Suzanne Collins, Tags: humor, hunger-games, katniss, mellark, peeta, romance"
“Look after my heart - I've left it with you.”,"Stephenie Meyer,","bella, edward, love, twilight-saga","Quote: “Look after my heart - I've left it with you.” Author: Stephenie Meyer, Tags: bella, edward, love, twilight-saga"
“Growing apart doesn't change the fact that for a long time we grew side by side; our roots will always be tangled. I'm glad for that.”,"Ally Condie,","childhood, friendship, growing-up","Quote: “Growing apart doesn't change the fact that for a long time we grew side by side; our roots will always be tangled. I'm glad for that.” Author: Ally Condie, Tags: childhood, friendship, growing-up"
"“If you ever find yourself in the wrong story, leave.”","Mo Willems,","fairy-tales, humor, humorous, philosophy, psychology","Quote: “If you ever find yourself in the wrong story, leave.” Author: Mo Willems, Tags: fairy-tales, humor, humorous, philosophy, psychology"
"“The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well.”",Ralph Waldo Emerson,"helping-others, make-a-difference, purpose, purpose-of-life","Quote: “The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well.” Author: Ralph Waldo Emerson Tags: helping-others, make-a-difference, purpose, purpose-of-life"
"“The beginning of love is the will to let those we love be perfectly themselves, the resolution not to twist them to fit our own image. If in loving them we do not love what they are, but only their potential likeness to ourselves, then we do not love them: we only love the reflection of ourselves we find in them”","Thomas Merton,","friendship, love, self-discovery, trust, truth","Quote: “The beginning of love is the will to let those we love be perfectly themselves, the resolution not to twist them to fit our own image. If in loving them we do not love what they are, but only their potential likeness to ourselves, then we do not love them: we only love the reflection of ourselves we find in them” Author: Thomas Merton, Tags: friendship, love, self-discovery, trust, truth"
"“If you want to be a writer, you must do two things above all others: read a lot and write a lot.”",Stephen King,writing,"Quote: “If you want to be a writer, you must do two things above all others: read a lot and write a lot.” Author: Stephen King Tags: writing"
"“I can shake off everything as I write; my sorrows disappear, my courage is reborn.”",Anne Frank,writing,"Quote: “I can shake off everything as I write; my sorrows disappear, my courage is reborn.” Author: Anne Frank Tags: writing"
"“Success is getting what you want, happiness is wanting what you get”",W. P. Kinsella,"happiness, success","Quote: “Success is getting what you want, happiness is wanting what you get” Author: W. P. Kinsella Tags: happiness, success"
“Many a book is like a key to unknown chambers within the castle of oneâ€™s own self.”,Franz Kafka,"books, castle, self","Quote: “Many a book is like a key to unknown chambers within the castle of oneâ€™s own self.” Author: Franz Kafka Tags: books, castle, self"
"“Don't bend; don't water it down; don't try to make it logical; don't edit your own soul according to the fashion. Rather, follow your most intense obsessions mercilessly.”",Franz Kafka,"honesty, truth-telling, writing","Quote: “Don't bend; don't water it down; don't try to make it logical; don't edit your own soul according to the fashion. Rather, follow your most intense obsessions mercilessly.” Author: Franz Kafka Tags: honesty, truth-telling, writing"
"“Suffering has been stronger than all other teaching, and has taught me to understand what your heart used to be. I have been bent and broken, but - I hope - into a better shape.”","Charles Dickens,","growth, heart, life, suffering","Quote: “Suffering has been stronger than all other teaching, and has taught me to understand what your heart used to be. I have been bent and broken, but - I hope - into a better shape.” Author: Charles Dickens, Tags: growth, heart, life, suffering"
"“The most beautiful things in the world cannot be seen or touched, they are felt with the heart.”","Antoine de Saint-ExupÃ©ry,",inspirational,"Quote: “The most beautiful things in the world cannot be seen or touched, they are felt with the heart.” Author: Antoine de Saint-ExupÃ©ry, Tags: inspirational"
